User_Id,Place_Id,Ratings
1,482,3
1,211,1
1,219,4
1,319,4
1,148,2
1,501,4
1,161,1
1,491,3
1,383,1
1,279,1
1,317,5
1,365,1
1,183,1
1,62,4
1,107,3
1,204,4
1,387,5
1,229,4
1,374,4
1,378,4
1,158,5
1,62,3
1,366,4
1,291,5
1,280,3
1,506,1
1,146,2
1,224,3
1,512,4
1,37,4
1,130,1
1,198,1
1,76,1
1,94,1
1,409,3
1,190,3
1,49,3
1,435,1
1,171,4
1,275,4
1,104,1
1,350,4
1,180,1
1,206,5
1,471,4
1,250,3
1,21,5
1,371,1
1,61,3
1,349,3
1,318,4
1,444,4
1,130,4
2,448,2
2,157,2
2,257,3
2,141,3
2,96,1
2,308,3
2,31,5
2,377,4
2,335,5
2,75,5
2,89,3
2,100,1
2,54,1
2,224,1
2,474,1
2,74,1
2,509,5
2,340,1
2,378,2
2,28,4
2,119,2
2,92,4
2,197,2
2,143,3
2,286,4
2,392,5
2,511,5
2,117,1
2,361,3
2,432,3
2,444,1
2,103,1
2,216,4
2,317,5
2,185,4
2,292,4
2,9,5
2,272,1
2,93,3
2,236,5
2,124,4
2,58,5
2,92,2
2,62,4
2,340,4
2,410,5
2,62,1
2,372,1
2,131,3
2,465,1
2,491,3
2,499,2
2,95,5
2,71,4
2,176,3
2,303,3
2,326,4
2,294,1
2,165,5
3,276,3
3,331,5
3,346,3
3,204,4
3,349,1
3,154,2
3,26,1
3,288,3
3,159,3
3,261,3
3,173,4
3,270,5
3,277,4
3,350,4
3,121,1
3,482,1
3,154,2
3,79,3
3,26,3
3,285,1
3,14,2
3,272,2
3,442,2
3,324,2
3,388,1
3,117,2
3,393,1
3,310,4
3,142,2
3,435,4
3,245,2
3,490,5
3,390,1
3,414,1
3,367,2
3,298,4
3,448,3
3,241,2
3,116,4
3,130,1
3,359,2
3,191,2
3,281,2
3,465,3
4,326,4
4,228,1
4,353,1
4,55,1
4,445,5
4,406,1
4,12,5
4,171,1
4,493,5
4,459,3
4,348,4
4,265,2
4,116,5
4,317,4
4,131,4
4,67,3
4,29,2
4,170,1
4,132,3
4,144,4
4,375,1
4,218,1
4,394,2
4,420,4
4,355,2
4,68,2
4,513,5
4,233,5
4,389,4
4,449,2
4,127,3
4,503,3
4,401,4
4,232,3
4,53,2
4,405,4
4,433,2
4,220,5
4,377,1
4,348,1
4,73,3
4,74,1
4,115,5
4,188,1
4,469,3
4,465,2
4,459,4
4,406,2
4,292,4
4,132,1
4,408,2
4,473,4
5,427,1
5,107,4
5,192,3
5,483,2
5,112,1
5,349,1
5,74,5
5,56,3
5,126,5
5,357,5
5,114,4
5,101,2
5,13,5
5,61,5
5,143,4
5,325,3
5,365,3
5,291,4
5,407,5
5,338,3
5,349,1
5,469,2
5,428,4
5,166,2
5,320,1
5,490,4
5,426,4
5,208,3
5,18,4
5,337,1
5,174,4
5,50,1
5,30,5
5,30,3
5,252,2
5,317,2
5,261,3
5,214,2
5,354,5
5,358,2
5,433,1
6,506,2
6,23,4
6,149,5
6,419,4
6,21,2
6,433,5
6,509,3
6,398,2
6,453,2
6,239,3
6,363,1
6,484,3
6,62,1
6,199,2
6,494,1
6,162,2
6,288,1
6,126,1
6,56,5
6,430,5
6,212,1
6,255,3
6,292,2
6,480,1
6,173,2
6,11,5
6,496,1
6,42,1
6,208,5
6,171,3
6,20,5
6,418,5
6,373,2
6,325,1
6,36,3
6,486,1
6,508,3
6,477,1
